,Close,MA_20,StdDev,Upper_Band,Lower_Band,TP,SMA,MAD,CCI,Decision
2023-05-17,89.27899932861328,89.81914939880372,0.43985875202368446,90.69886690285108,88.93943189475635,89.27899932861328,89.81914939880372,0.347390213012693,-103.6586620189171,NEUTRAL
2023-05-18,89.05599975585938,89.77139930725097,0.46881863867890716,90.70903658460878,88.83376202989317,89.05599975585938,89.77139930725097,0.3902801132202157,-122.20275082065383,NEUTRAL
2023-05-21,89.49800109863281,89.74179954528809,0.4663264610853912,90.67445246745888,88.8091466231173,89.49800109863281,89.74179954528809,0.39394012451171817,-41.25812215032427,NEUTRAL
2023-05-22,89.4469985961914,89.68814964294434,0.43258693279214205,90.55332350852862,88.82297577736006,89.4469985961914,89.68814964294434,0.37513530731201145,-42.85583397998843,NEUTRAL
2023-05-23,89.125,89.64754981994629,0.44590201327948276,90.53935384650526,88.75574579338732,89.125,89.64754981994629,0.39085044860839846,-89.1303944695986,NEUTRAL
2023-05-24,88.83799743652344,89.57804985046387,0.4588082343818518,90.49566631922757,88.66043338170017,88.83799743652344,89.57804985046387,0.3953557205200198,-124.79097945297225,NEUTRAL
2023-05-25,88.6510009765625,89.50464973449706,0.4844221933500022,90.47349412119706,88.53580534779707,88.6510009765625,89.50464973449706,0.4008155441284174,-141.9853047849967,NEUTRAL
2023-05-28,87.76010131835938,89.39380493164063,0.6084163153407334,90.6106375623221,88.17697230095916,87.76010131835938,89.39380493164063,0.45799560546875,-237.80484554492472,BUY
2023-05-29,88.3740005493164,89.36985511779785,0.6394608560625176,90.6487768299229,88.09093340567281,88.3740005493164,89.36985511779785,0.48194541931152346,-137.75482016256288,NEUTRAL
2023-05-30,88.66600036621094,89.30570526123047,0.6426505588753008,90.59100637898108,88.02040414347987,88.66600036621094,89.30570526123047,0.4904248046874997,-86.95929038189061,NEUTRAL
2023-05-31,88.322998046875,89.19915504455567,0.6184472618234861,90.43604956820263,87.9622605209087,88.322998046875,89.19915504455567,0.4901297378540036,-119.17348000101019,NEUTRAL
2023-06-01,88.44999694824219,89.12185478210449,0.6101694826880327,90.34219374748056,87.90151581672842,88.44999694824219,89.12185478210449,0.48805980682373046,-91.77260989586814,NEUTRAL
2023-06-04,88.13500213623047,89.0300048828125,0.613713121738043,90.2574311262886,87.80257863933642,88.13500213623047,89.0300048828125,0.5042941284179676,-118.3175579682397,NEUTRAL
2023-06-05,88.2979965209961,88.95265464782715,0.6029832918180847,90.15862123146331,87.74668806419098,88.2979965209961,88.95265464782715,0.5078797531127932,-85.93348101509653,NEUTRAL
2023-06-06,88.19000244140625,88.86515464782715,0.5786484195950292,90.02245148701721,87.7078578086371,88.19000244140625,88.86515464782715,0.4966449737548828,-90.62841561533959,NEUTRAL
2023-06-07,88.37899780273438,88.78890457153321,0.5332479723865409,89.85540051630629,87.72240862676013,88.37899780273438,88.78890457153321,0.46629486083984373,-58.60480184298703,NEUTRAL
2023-06-08,88.9000015258789,88.75825462341308,0.5063779455604855,89.77101051453405,87.7454987322921,88.9000015258789,88.75825462341308,0.43564491271972655,21.69150430043306,NEUTRAL
2023-06-11,88.54000091552734,88.73035469055176,0.502027142093931,89.73440897473962,87.7263004063639,88.54000091552734,88.73035469055176,0.4267803573608404,-29.734854122082083,NEUTRAL
2023-06-12,88.62300109863281,88.69310493469239,0.4793515888704773,89.65180811243334,87.73440175695143,88.62300109863281,88.69310493469239,0.39281600952148493,-11.897654263968052,NEUTRAL
2023-06-13,88.65299987792969,88.65925483703613,0.45530990868889837,89.56987465441392,87.74863501965834,88.65299987792969,88.65925483703613,0.3534959411621088,-1.1796380812519758,NEUTRAL
2023-06-14,88.88099670410156,88.63935470581055,0.4350439217008993,89.50944254921235,87.76926686240874,88.88099670410156,88.63935470581055,0.33214492797851564,48.501317333909114,NEUTRAL
2023-06-15,89.58699798583984,88.66590461730956,0.476077050089223,89.61805871748801,87.71375051713112,89.58699798583984,88.66590461730956,0.36147567749023324,169.8765045411511,NEUTRAL
